President;George Washington;(1732-1799);30 april 1789;4 maart 1797;2;;;;;
FirstLady;Martha Dandridge;(1731-1802);;;;;;;;
PresidentialPet;Sweetlips;dog;;;;;;;;
PresidentialPet;Scentwell;dog;;;;;;;;
PresidentialPet;Vulcan;dog;;;;;;;;
PresidentialPet;Royal Gift;donkey;;;;;;;;
PresidentialPet;Nelson;horse;;;;;;;;
PresidentialPet;Cornwallis;dog;;;;;;;;
PresidentialPet;Samson;horse;;;;;;;;
PresidentialPet;Steady;horse;;;;;;;;
PresidentialPet;Leonidas;horse;;;;;;;;
PresidentialPet;Traveller;horse;;;;;;;;
PresidentialPet;Magnolia;horse;;;;;;;;
President;John Adams;(1735-1826);4 maart 1797;4 maart 1801;1;;;;;
FirstLady;Abigail Smith;(1744-1818);;;;;;;;
PresidentialPet;Juno;dog;;;;;;;;
PresidentialPet;Mark;dog;;;;;;;;
PresidentialPet;Satan;dog;;;;;;;;
PresidentialPet;Cleopatra;horse;;;;;;;;
PresidentialPet;Caesar;horse;;;;;;;;
President;Thomas Jefferson;(1743-1826);4 maart 1801;4 maart 1809;2;;;;;
President;James Madison;(1751-1836);4 maart 1809;4 maart 1817;2;;;;;
FirstLady;Dolley Payne;(1768-1849);;;;;;;;
President;James Monroe;(1758-1831);4 maart 1817;4 maart 1825;2;;;;;
FirstLady;Elizabeth Kortright;(1768-1830);;;;;;;;
President;John Quincy Adams;(1767-1848);4 maart 1825;4 maart 1829;1;;;;;
FirstLady;Louisa Catherine Johnson;(1775-1852);;;;;;;;
President;Andrew Jackson;(1767-1845);4 maart 1829;4 maart 1837;2;;;;;
President;Martin Van Buren;(1782-1862);4 maart 1837;4 maart 1841;1;;;;;
President;William Henry Harrison;(1773-1841);4 maart 1841;4 april 1841;0;;;;;
FirstLady;Anna Tuthill Symmes;(1775-1864);;;;;;;;
President;John Tyler;(1790-1862);4 april 1841;4 maart 1845;1;;;;;
President;James Knox Polk;(1795-1849);4 maart 1845;4 maart 1849;1;;;;;
FirstLady;Sarah Childress;(1803-1891);;;;;;;;
President;Zachary Taylor;(1784-1850);4 maart 1849;9 juli 1850;0;;;;;
FirstLady;Margaret Mackall Smith;(1788-1852);;;;;;;;
President;Millard Fillmore;(1800-1874);9 juli 1850;4 maart 1853;1;;;;;
FirstLady;Abigail Powers;(1798-1853);;;;;;;;
President;Franklin Pierce;(1804-1869);4 maart 1853;4 maart 1857;1;;;;;
FirstLady;Jane Means Appleton;(1806-1863);;;;;;;;
President;James Buchanan;(1791-1868);4 maart 1857;4 maart 1861;1;;;;;
FirstLady;Harriet Rebecca Lane;(1830-1903);;;;;;;;
President;Abraham Lincoln;(1809-1865);4 maart 1861;15 april 1865;1;;;;;
FirstLady;Mary Ann Todd;(1818-1882);;;;;;;;
President;Andrew Johnson;(1808-1875);15 april 1865;4 maart 1869;1;;;;;
FirstLady;Eliza McCardle;(1810-1876);;;;;;;;
President;Ulysses Simpson Grant;(1822-1885);4 maart 1869;4 maart 1877;2;;;;;
FirstLady;Julia Boggs Dent;(1826-1902);;;;;;;;
President;Rutherford Birchard Hayes;(1822-1893);4 maart 1877;4 maart 1881;1;;;;;
FirstLady;Lucy Ware Webb;(1831-1889);;;;;;;;
President;James Abram Garfield;(1831-1881);4 maart 1881;19 september 1881;0;;;;;
FirstLady;Lucretia Rudolph;(1832-1918);;;;;;;;
President;Chester Alan Arthur;(1829-1886);19 september 1881;4 maart 1885;1;;;;;
President;Stephen Grover Cleveland;(1837-1908);4 maart 1885;4 maart 1889;1;;;;;
FirstLady;Frances Clara Folsom;(1864-1947);;;;;;;;
President;Benjamin Harrison;(1833-1901);4 maart 1889;4 maart 1893;1;;;;;
FirstLady;Caroline Lavinia Scott;(1832-1892);;;;;;;;
President;Stephen Grover Cleveland;(1837-1908);4 maart 1893;4 maart 1897;1;;;;;
FirstLady;Frances Clara Folsom;(1864-1947);;;;;;;;
President;William McKinley;(1843-1901);4 maart 1897;14 september 1901;1;;;;;
FirstLady;Ida Saxton;(1847-1907);;;;;;;;
President;Theodore Roosevelt;(1858-1919);14 september 1901;4 maart 1909;2;;;;;
FirstLady;Edith Kermit Carow;(1861-1948);;;;;;;;
President;William Howard Taft;(1857-1930);4 maart 1909;4 maart 1913;1;;;;;
FirstLady;Helen Louise Herron;(1861-1943);;;;;;;;
President;Thomas Woodrow Wilson;(1856-1924);4 maart 1913;4 maart 1921;2;;;;;
President;Warren Gamaliel Harding;(1865-1923);4 maart 1921;2 augustus 1923;0;;;;;
FirstLady;Florence Mabel Kling;(1860-1924);;;;;;;;
President;John Calvin Coolidge;(1872-1933);2 augustus 1923;4 maart 1929;2;;;;;
FirstLady;Grace Anna Goodhue;(1879-1957);;;;;;;;
President;Herbert Clark Hoover;(1874-1964);4 maart 1929;4 maart 1933;1;;;;;
PresidentialPet;King Tut;dog;;;;;;;;
PresidentialPet;Pat;dog;;;;;;;;
PresidentialPet;Big Ben;dog;;;;;;;;
PresidentialPet;Sonnie;dog;;;;;;;;
PresidentialPet;Glen;dog;;;;;;;;
PresidentialPet;Yukonan;dog;;;;;;;;
PresidentialPet;Patrick;dog;;;;;;;;
PresidentialPet;Eaglehurst Gillette;dog;;;;;;;;
PresidentialPet;Weejie;dog;;;;;;;;
FirstLady;Lou Henry;(1874-1944);;;;;;;;
President;Franklin Delano Roosevelt;(1882-1945);4 maart 1933;12 april 1945;3;;;;;
FirstLady;Anna Eleanor Roosevelt;(1884-1962);;;;;;;;
President;Harry S. Truman;(1884-1972);12 april 1945;20 januari 1953;2;;;;;
FirstLady;"Elizabeth Virginia (Bess) Wallace";(1885-1982);;;;;;;;
President;Dwight David Eisenhower;(1890-1969);20 januari 1953;20 januari 1961;2;;;;;
FirstLady;Mamie Geneva Doud;(1896-1979);;;;;;;;
President;John Fitzgerald Kennedy;(1917-1963);20 januari 1961;22 november 1963;0;;;;;
FirstLady;"Jacqueline ""Jackie"" Lee Bouvier";(1929-1994);;;;;;;;
PresidentialPet;Gaullie;dog;;;;;;;;
PresidentialPet;Charlie;dog;;;;;;;;
PresidentialPet;Tom Kitten;cat;;;;;;;;
PresidentialPet;Robin;canary;;;;;;;;
PresidentialPet;Bluebell;parakeet;;;;;;;;
PresidentialPet;Marybelle;parakeet;;;;;;;;
PresidentialPet;Macaroni;pony;;;;;;;;
PresidentialPet;Moe;dog;;;;;;;;
PresidentialPet;Debbie;hamster;;;;;;;;
PresidentialPet;Billie;hamster;;;;;;;;
PresidentialPet;Pushinka;dog;;;;;;;;
PresidentialPet;Shannon;dog;;;;;;;;
PresidentialPet;Wolf;dog;;;;;;;;
PresidentialPet;Clipper;dog;;;;;;;;
PresidentialPet;Zsa Zsa;rabbit;;;;;;;;
PresidentialPet;Sardar;horse;;;;;;;;
President;Lyndon Baines Johnson;(1908-1973);22 november 1963;20 januari 1969;2;;;;;
FirstLady;"Claudia Alta ""Lady Bird"" Taylor";(1912-2007);;;;;;;;
President;Richard Milhous Nixon;(1913-1994);20 januari 1969;9 augustus 1974;1;;;;;
FirstLady;"Thelma ""Pat"" Catherine Ryan";(1912-1993);;;;;;;;
President;Gerald Rudolph Ford;(1913-2006);9 augustus 1974;20 januari 1977;1;;;;;
FirstLady;"Elizabeth ""Betty"" Ann Bloomer";(1918-2011);;;;;;;;
President;James Earl (Jimmy) Carter;(1924-...);20 januari 1977;20 januari 1981;1;;;;;
FirstLady;Eleanor Rosalynn Smith;(1927-...);;;;;;;;
President;Ronald Wilson Reagan;(1911-2004);20 januari 1981;20 januari 1989;2;;;;;
FirstLady;Nancy Davis;(1921-2016);;;;;;;;
President;George Herbert Walker Bush;(1924-...);20 januari 1989;20 januari 1993;1;;;;;
FirstLady;Barbara Pierce;(1925-...);;;;;;;;
President;William Jefferson (Bill) Clinton;(1946-...);20 januari 1993;20 januari 2001;2;;;;;
FirstLady;Hillary Diane Rodham;(1947-...);;;;;;;;
President;George Walker Bush;(1946-...);20 januari 2001;20 januari 2009;2;;;;;
FirstLady;Laura Lane Welch;(1946-...);;;;;;;;
PresidentialPet;Spotty Fetcher;dog;;;;;;;;
PresidentialPet;Barney;dog;;;;;;;;
PresidentialPet;India Willie;cat;;;;;;;;
PresidentialPet;Ofelia;cow;;;;;;;;
President;Barack Hussein Obama;(1961-...);20 januari 2009;20 januari 2017;2;;;;;
FirstLady;Michelle LaVaughn Robinson;(1964-...);;;;;;;;
PresidentialPet;Bo;dog;;;;;;;;
PresidentialPet;Sunny;dog;;;;;;;;
President;Donald John Trump;(1946-...);20 januari 2017;NB;0;;;;;
FirstLady;Melanija Knavs;(1970-...);;;;;;;;